,Bintje_1,Bintje_2,Maris_Piper,Experimental,GMO1,GMO2
1,1,1,1,1,1,1
2,0,0,0,1,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,1,1,1
6,0,0,1,0,0,0
7,0,0,1,1,1,1
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,1,1,1,1,1,1
11,0,0,0,0,0,1
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,1,1,1,1,1,1
17,0,0,0,1,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,1,1,1,1,1,1
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,1,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,1,0,0,1,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,1,0,1,1,1
36,1,1,1,1,1,1
37,0,0,1,1,0,0
38,0,0,0,0,0,0
39,1,1,1,1,1,1
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,1,1,1,1,1,1
45,1,1,1,1,1,1
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,1,1,1
50,1,1,1,1,1,1
51,1,1,0,1,1,1
52,0,0,0,1,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,1,1,1,1,1,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,1,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,1,1,1,1,1,1
67,0,1,0,1,0,1
68,0,1,0,1,0,1
69,0,0,1,1,0,1
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,1,1,1,1,1,1
80,0,0,0,0,0,0
81,0,0,0,0,0,0
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,1,1,1,1,1,1
97,0,0,1,1,0,0
98,0,0,1,1,1,1
99,1,1,1,1,1,1
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,1,1,1,1,1,1
103,0,0,0,0,0,0
