date, pm25, pm10, o3, no2, so2, co
2025/7/1, 108, 51, 23, 3, 1, 7
2025/7/2, 85, 50, 29, 2, , 6
2025/7/3, 97, 54, 39, 3, 2, 6
2025/7/4, 104, 61, 50, 3, , 6
2025/7/5, 113, 54, 31, 2, , 6
2025/7/6, 102, 38, 47, 2, , 6
2025/7/7, 71, 56, 40, 2, , 6
2025/7/8, 93, 41, 34, 1, , 5
2025/7/9, 70, 25, 27, 2, , 5
2025/7/10, 63, 54, 35, 2, , 8
2025/7/11, 105, 61, 46, 2, 1, 6
2025/7/12, 116, 58, 38, 2, , 6
2025/7/13, 108, 37, 21, 2, , 6
2025/7/14, 80, 36, 22, 1, , 5
2025/7/15, 69, 53, 25, 2, 1, 6
2025/7/16, 91, 46, 26, 2, 2, 6
2025/7/17, 81, 42, 21, 2, 1, 6
2025/7/18, 95, 39, 26, 1, 1, 6
2025/7/19, 72, 57, 33, 1, , 5
2025/7/20, 86, , 8, 1, 2, 7
2025/7/21, 93, , , , , 
2025/4/1, 129, 98, 6, 30, 1, 4
2025/4/2, 142, 87, 4, 31, 2, 3
2025/4/3, 124, 103, 5, 31, 1, 4
2025/4/4, 135, 79, 8, 30, 2, 3
2025/4/5, 90, 91, 6, 32, 2, 3
2025/4/6, 135, 120, 6, 35, 2, 6
2025/4/7, 141, 114, 4, 34, 2, 4
2025/4/8, 159, 121, 4, 32, 2, 3
2025/4/9, 162, 121, 11, 27, 1, 2
2025/4/10, 133, 104, 4, 27, , 2
2025/4/11, 90, 65, 114, 18, 1, 2
2025/4/12, 87, 74, 149, 11, 2, 3
2025/4/13, 103, 84, 64, 11, 2, 6
2025/4/14, 123, 84, 45, 12, 1, 4
2025/4/15, 120, 95, 60, 13, 2, 4
2025/4/16, 148, 91, 57, 12, 2, 4
2025/4/17, 125, 101, 61, 8, 2, 3
2025/4/18, 143, 74, 31, 5, 1, 3
2025/4/19, 105, 77, 35, 6, 1, 3
2025/4/20, 107, 104, 33, 10, 1, 3
2025/4/21, 132, 101, 49, 11, 3, 3
2025/4/22, 126, 102, 59, 14, 3, 5
2025/4/23, 139, 103, 63, 17, 4, 3
2025/4/24, 141, 112, 77, 24, 3, 7
2025/4/25, 148, 105, 78, 18, 3, 4
2025/4/26, 131, 97, 56, 10, 2, 3
2025/4/27, 118, 118, 74, 14, 3, 6
2025/4/28, 163, 95, 60, 4, 1, 4
2025/4/29, 127, 92, 63, 4, 1, 3
2025/4/30, 142, 92, 63, 2, 2, 4
2025/5/1, 147, 65, 35, 1, 1, 3
2025/5/2, 96, 83, 24, , 1, 5
2025/5/3, 146, 105, 65, , 2, 4
2025/5/4, 175, 72, 42, 9, 1, 3
2025/5/5, 108, 74, 46, 12, , 4
2025/5/6, 87, 78, 57, 5, 1, 4
2025/5/7, 126, 83, 53, 7, 1, 3
2025/5/8, 122, 66, 44, 8, , 4
2025/5/9, 103, 88, 37, 12, 2, 7
